"Date","Price","Open","High","Low","Vol.","Change %"
"03/07/2022","1,232.14","1,221.65","1,233.47","1,220.05","","1.21%"
"03/04/2022","1,217.45","1,206.93","1,219.78","1,206.35","","0.99%"
"03/03/2022","1,205.54","1,203.26","1,209.29","1,202.18","","0.20%"
"03/02/2022","1,203.16","1,205.42","1,208.99","1,201.98","","-0.18%"
"03/01/2022","1,205.32","1,201.18","1,206.37","1,197.68","","0.43%"
"02/28/2022","1,200.12","1,207.65","1,208.97","1,200.76","","0.21%"
"02/25/2022","1,197.57","1,206.11","1,206.90","1,197.73","","-0.70%"
"02/24/2022","1,206.05","1,192.60","1,211.47","1,191.93","","1.14%"
"02/23/2022","1,192.44","1,193.03","1,194.34","1,189.64","","0.05%"
"02/22/2022","1,191.90","1,194.60","1,196.60","1,190.74","","-0.15%"
"02/21/2022","1,193.68","1,198.30","1,199.72","1,189.73","","-0.16%"
"02/18/2022","1,195.59","1,198.76","1,199.55","1,192.95","","-0.25%"
"02/17/2022","1,198.63","1,196.69","1,200.06","1,194.44","","0.18%"
"02/16/2022","1,196.53","1,196.86","1,199.57","1,195.22","","-0.02%"
"02/15/2022","1,196.76","1,197.44","1,200.59","1,195.29","","-0.05%"
"02/14/2022","1,197.32","1,200.10","1,200.17","1,193.93","","-0.18%"
"02/11/2022","1,199.48","1,200.10","1,201.87","1,193.23","","-0.03%"
"02/10/2022","1,199.83","1,194.17","1,200.65","1,193.42","","0.48%"
"02/09/2022","1,194.05","1,196.40","1,197.47","1,193.02","","-0.19%"
"02/08/2022","1,196.35","1,196.92","1,200.38","1,196.21","","-0.04%"
"02/07/2022","1,196.87","1,199.00","1,201.09","1,196.72","","-0.12%"
"02/04/2022","1,198.25","1,200.65","1,202.05","1,196.81","","-0.10%"
"02/03/2022","1,199.47","1,200.36","1,207.19","1,198.68","","0.00%"
"02/02/2022","1,199.46","1,202.47","1,204.41","1,198.82","","-0.24%"
"02/01/2022","1,202.31","1,204.75","1,208.01","1,201.61","","-0.19%"
"01/31/2022","1,204.63","1,209.71","1,212.92","1,204.20","","-0.41%"
"01/28/2022","1,209.56","1,203.82","1,213.86","1,203.65","","0.48%"
"01/27/2022","1,203.77","1,200.75","1,205.79","1,200.15","","0.56%"
"01/26/2022","1,197.03","1,196.35","1,198.51","1,194.29","","0.06%"
"01/25/2022","1,196.35","1,195.69","1,199.93","1,195.17","","0.06%"
"01/24/2022","1,195.59","1,193.30","1,197.90","1,192.49","","0.26%"
"01/21/2022","1,192.51","1,192.49","1,195.05","1,190.14","","0.01%"
"01/20/2022","1,192.42","1,188.21","1,193.88","1,187.19","","0.36%"
